ID	NQO1	HO1	GCLC	NRF2	TNFalpha	IL10	IFNg	IL4	IL17	JAM-A	Occludin	ZO1	Cingulin	Organ	Condition	Match
CT_CP_4	7.764151	4.833365	8.265649	7.042697	5.472986	3.021632	1.077735	0.004917031	0.006477389	2.975079	2.500693	2.752663	1.803536	Prox. Colon	Control	CT_CP
CT_CP_5	5.642475	3.853123	4.44021	10.17621	3.620849	2.796899	0.2686879	0.4987895	0.2895989	2.941247	2.584398	4.97373	3.171858	Prox. Colon	Control	CT_CP
CT_CP_6	5.976613	2.678691	8.462759	7.349408	1.543096	5.691576	1.278102	0.01184156	0.01559933	2.772963	2.761263	5.262791	1.783644	Prox. Colon	Control	CT_CP
CT_CP_7	4.367562	3.786928	7.582261	6.275055	1.826179	3.255385	0.440741	0.05847659	0.3760843	3.168781	2.524203	4.779395	2.073155	Prox. Colon	Control	CT_CP
CT_CP_8	2.804664	1.261402	5.425019	4.218202	2.328382	2.598768	0.01385935	0.01385935	1.108515	2.682221	2.080353	4.237837	2.579029	Prox. Colon	Control	CT_CP
CT_CP_9	7.409253	2.797287	4.12281	8.834375	1.905049	4.676172	1.721902	0.540926	0.7495664	2.799032	2.158199	2.480839	1.543096	Prox. Colon	Control	CT_CP
CT_CP_10	2.423057	2.246265	3.799022	3.73117	2.320327	4.337393	0.4468935	0.007850515	1.035716	1.680544	1.814193	3.190601	1.527665	Prox. Colon	Control	CT_CP
CT_CP_11	12.6523	6.639286	9.475014	8.616656	3.024776	1.716926	0.5779446	0.2259387	0.02882827	3.669105	2.975904	2.133657	2.46712	Prox. Colon	Control	CT_CP
CT_CP_12	2.410493	2.875929	2.376977	2.993074	7.737288	3.93354	8.577178	0.2895738	1.177011	2.23989	1.727072	2.443295	1.977706	Prox. Colon	Control	CT_CP
ST_CP_1	7.523104	6.704028	6.685929	6.000689	2.221183	3.257642	1.206228	0.004893231	0.006446037	3.160008	3.414864	5.259144	3.823326	Prox. Colon	WAS	WAS_CP
ST_CP_2	4.481023	4.816643	7.17077	4.229913	4.296995	1.032633	0.4351254	0.9346532	0.008258687	4.594564	5.455941	18.08007	10.34117	Prox. Colon	WAS	WAS_CP
ST_CP_3	2.831032	3.75556	4.324784	2.682593	5.791063	2.631396	0.590907	0.6377236	0.007900327	3.550268	3.646034	7.097584	5.673851	Prox. Colon	WAS	WAS_CP
ST_CP_4	4.425462	2.551823	3.574219	1.809546	2.431469	0.8566799	0.2184694	0.4885246	0.311462	2.591753	2.590675	3.92809	3.345746	Prox. Colon	WAS	WAS_CP
ST_CP_5	2.864589	3.888	4.170233	3.123423	8.318527	1.822385	0.1168317	0.002272511	0.1801322	2.858836	2.494634	3.457737	2.942063	Prox. Colon	WAS	WAS_CP
ST_CP_6	2.23044	2.639067	3.399042	2.734218	3.165269	0.9175305	0.3729368	0.005226291	0.006884789	2.012415	2.426418	4.992727	4.959959	Prox. Colon	WAS	WAS_CP
ST_CP_7	2.952277	1.78451	3.788504	4.277086	4.488795	1.478186	6.669151	0.4387597	8.785522	2.314063	2.876527	4.246658	3.366683	Prox. Colon	WAS	WAS_CP
ST_CP_8	3.926729	4.463044	5.318901	4.011462	1.627128	3.620849	0.3730661	0.004582984	0.006037337	3.557659	4.086393	6.043264	5.609329	Prox. Colon	WAS	WAS_CP
ST_CP_9	2.995565	3.031492	5.28216	5.344771	4.984083	0.1274787	0.01079871	0.01079871	1.179053	3.435281	4.385764	8.091057	5.78705	Prox. Colon	WAS	WAS_CP
ST_CP_10	2.418861	1.890841	2.917289	3.353408	4.694033	1.079848	0.6654965	1.221372	0.02054781	2.302862	2.496364	4.402515	4.042725	Prox. Colon	WAS	WAS_CP
ST_CP_11	3.461334	3.416521	4.853845	6.478357	2.144034	3.421972	0.1548028	0.003735464	0.004920867	3.387986	4.137697	4.048333	4.394893	Prox. Colon	WAS	WAS_CP
ST_CP_12	3.689251	3.688484	5.678965	5.608551	5.197537	3.925369	0.77298	0.0116341	0.4563233	5.739512	6.441194	9.878747	6.057943	Dist. Colon	WAS	WAS_CP
CT_CD_1	4.41168	4.514381	3.278709	3.559385	0.8522379	2.596068	0.2196842	0.001503461	0.001115672	2.584577	2.581712	5.821247	1.973598	Dist. Colon	Control	CT_CD
CT_CD_2	3.370186	2.781818	3.195691	3.754519	2.211964	3.703343	0.8139449	0.1422503	0.2922203	2.314063	2.755527	6.613106	2.486003	Dist. Colon	Control	CT_CD
CT_CD_3	2.074593	1.991738	2.145967	2.357288	1.679263	1.966088	0.3143629	1.500562	0.7267989	1.705776	1.557604	2.799809	1.144984	Dist. Colon	Control	CT_CD
CT_CD_4	2.306696	2.725513	2.040791	2.427764	1.163788	1.950479	0.7735161	0.1781301	0.002565807	2.544581	2.017863	2.950231	1.48229	Dist. Colon	Control	CT_CD
CT_CD_5	4.761209	3.136223	3.19237	4.986847	2.615031	4.562511	0.4059863	0.006256203	1.674962	2.849933	2.680177	4.75956	1.804161	Dist. Colon	Control	CT_CD
CT_CD_6	5.995284	4.131106	3.965844	6.854864	2.349458	3.704627	0.6149338	0.004208445	0.005543943	5.515257	4.286583	5.721241	2.195163	Dist. Colon	Control	CT_CD
CT_CD_7	2.303501	3.537005	3.090045	3.66453	2.34783	4.534137	0.643273	0.316769	0.9481111	3.78011	2.959448	6.817903	3.761552	Dist. Colon	Control	CT_CD
CT_CD_8	2.160444	4.515945	3.306095	4.392761	1.404764	2.705374	0.1762876	0.04817749	0.001379277	5.505708	5.154484	5.7054	5.140213	Dist. Colon	Control	CT_CD
CT_CD_9	2.066699	3.909619	1.655341	2.821824	6.219627	5.078238	8.097649	0.1776985	1.446562	3.216358	2.377307	7.47891	2.749803	Dist. Colon	Control	CT_CD
